"Bill Number","Bill Title","Bill Sponsor","Date Passed","Effective Date","Governor's Action","Gov's Action Date","Laws of Utah Chapter"
"HB0026","Road Jurisdiction Amendments ","Peterson, K.","02/14/2025","05/07/2025","GSIGN","03/26/2025","383"
"HB0027S01","Voting Precinct Amendments ","Dunnigan, J.","03/06/2025","05/07/2025","GSIGN","03/24/2025","104"
"HB0028S01","On Premise Sign Installation Amendments ","Moss, C.","02/20/2025","05/07/2025","GSIGN","03/25/2025","176"
"HB0029","Child Visitation Amendments ","Gricius, S.","02/07/2025","05/07/2025","GSIGN","03/24/2025","106"
"HB0031","Offender Information Amendments ","Ballard, M.G.","03/05/2025","05/07/2025","GSIGN","03/24/2025","108"
"HB0032","Borgstrom Brothers Memorial Highway Designation ","Peterson, T.","02/13/2025","05/07/2025","GSIGN","02/27/2025","015"
"HB0033","Child Welfare Reporting Amendments ","Watkins, C.","02/20/2025","05/07/2025","GSIGN","03/12/2025","030"
"HB0034","State Campgrounds Amendments ","Eliason, S.","02/06/2025","05/07/2025","GSIGN","03/24/2025","111"
"HB0036","Provo Canyon Resource Management Plan Amendments ","Bennion, G.","02/06/2025","05/07/2025","GSIGN","03/25/2025","177"
"HB0037S05","Utah Housing Amendments ","Dunnigan, J.","03/07/2025","05/07/2025","GSIGN","03/26/2025","385"
"HB0038S04","Criminal Offenses Modifications ","Wilcox, R.","03/05/2025","05/07/2025","GSIGN","03/25/2025","178"
"HB0039S04","Correctional Health Amendments ","Eliason, S.","03/06/2025","05/07/2025","GSIGN","03/24/2025","112"
"HB0040S07","School Safety Amendments ","Wilcox, R.","03/07/2025","05/07/2025","GSIGN","03/26/2025","388"
"HB0041S01","State Water Policy Amendments ","Albrecht, C.","02/14/2025","05/07/2025","GSIGN","02/27/2025","016"
"HB0042S01","English Learner Amendments ","Pierucci, C.","03/04/2025","07/01/2025","GSIGN","03/26/2025","389"
"HB0043","Education Program Sunset Amendments ","Peterson, K.","02/04/2025","05/07/2025","GSIGN","03/25/2025","179"
"HB0044S03","Private Airport Notice Amendments ","Ballard, M.G.","02/19/2025","05/07/2025","GSIGN","03/27/2025","515"
"HB0046","Water Rights Applications Amendments ","Owens, D.","02/14/2025","05/07/2025","GSIGN","03/12/2025","027"
"HB0047","Public Lands Watering Rights Amendments ","Albrecht, C.","02/20/2025","05/07/2025","GSIGN","03/19/2025","073"
"HB0048S03","Wildland Urban Interface Modifications ","Snider, C.","03/05/2025","01/01/2026","GSIGN","03/19/2025","074"
"HB0049S02","Juror Eligibility Amendments ","Ballard, M.G.","02/20/2025","05/07/2025","GSIGN","03/25/2025","180"
"HB0050","Occupational Safety and Health Amendments ","Dunnigan, J.","02/07/2025","05/07/2025","GSIGN","02/27/2025","017"
"HB0051S01","Higher Education Reporting Amendments ","Peterson, K.","02/10/2025","05/07/2025","GSIGN","03/26/2025","390"
"HB0053S05","Litter Cleanup Amendments ","Ivory, K.","03/03/2025","05/07/2025","GSIGN","03/26/2025","393"
"HB0054S03","Cannabinoid Amendments ","Dailey-Provost, J.","03/07/2025","05/07/2025","GSIGN","03/24/2025","114"
"HB0055","County Office Amendments ","Dunnigan, J.","02/14/2025","05/07/2025","GSIGN","03/19/2025","070"
"HB0056S01","Civil Commitment Modifications ","Eliason, S.","02/10/2025","05/07/2025","GSIGN","03/24/2025","118"
"HB0057S03","Residential Solar Panel Consumer Protection Amendments ","Jack, C.","03/05/2025","05/07/2025","GSIGN","03/25/2025","181"
"HB0058S04","Building Inspector Amendments ","Peterson, T.","03/05/2025","01/01/2026","GSIGN","03/19/2025","075"
"HB0059S01","Fireworks Modifications ","Dunnigan, J.","02/10/2025","05/07/2025","GSIGN","02/27/2025","018"
"HB0060S04","State Tax Amendments ","Eliason, S.","03/05/2025","01/01/2026","GSIGN","03/25/2025","182"
"HB0062","Property Tax Act Modifications ","Eliason, S.","02/14/2025","05/07/2025","GSIGN","03/25/2025","183"
"HB0064","Public Official Bonding Amendments ","Dunnigan, J.","02/14/2025","05/07/2025","GSIGN","03/19/2025","076"
"HB0065S03","Firefighter Cancer Amendments ","Snider, C.","03/05/2025","07/01/2025","GSIGN","03/25/2025","184"
"HB0066S01","Ritual Abuse Amendments ","Ivory, K.","02/14/2025","05/07/2025","GSIGN","03/25/2025","185"
"HB0067","Precious Metals Investment and Administration Amendments ","Ivory, K.","03/03/2025","05/07/2025","GSIGN","03/25/2025","186"
"HB0068S03","Insurance Funds Amendments ","Dunnigan, J.","03/03/2025","05/07/2025","GSIGN","03/25/2025","187"
"HB0069S04","Government Records and Information Amendments ","Gricius, S.","02/19/2025","05/07/2025","GSIGN","03/25/2025","188"
"HB0070S02","Decommissioned Asset Disposition Amendments ","Walter, N.","03/05/2025","03/24/2025","GSIGN","03/24/2025","120"
"HB0071","Committee of Consumer Services Sunset Amendments ","Owens, D.","02/06/2025","05/07/2025","GSIGN","03/25/2025","189"
"HB0073","Administrative Procedures Act Amendments ","Lisonbee, K.","02/28/2025","05/07/2025","GSIGN","03/25/2025","190"
"HB0074","Foreign Judgment Amendments ","Auxier, T.","02/20/2025","05/07/2025","GSIGN","03/25/2025","191"
"HB0075S02","Reauthorization of Administrative Rules ","Gricius, S.","03/06/2025","05/01/2025","GSIGN","03/25/2025","192"
"HB0076S01","Public Education Revisions ","Miller, T.","03/03/2025","05/07/2025","GSIGN","03/26/2025","394"
"HB0077S01","Flag Display Amendments ","Lee, T.","03/06/2025","05/07/2025","GNOSIGN","03/27/2025","508"
"HB0078S01","Criminal Offenses Amendments ","Gwynn, M.","03/05/2025","05/07/2025","GSIGN","03/25/2025","193"
"HB0079S01","Adaptive Driving Equipment Amendments ","Watkins, C.","03/05/2025","10/01/2025","GSIGN","03/25/2025","194"
"HB0080","Disorderly Conduct Amendments ","Brooks, W.","03/07/2025","05/07/2025","GSIGN","03/25/2025","195"
"HB0081S01","Fluoride Amendments ","Gricius, S.","02/21/2025","05/07/2025","GSIGN","03/27/2025","513"
"HB0082","Law Enforcement Modifications ","Gwynn, M.","02/27/2025","05/07/2025","GSIGN","03/25/2025","196"
"HB0084S02","Vaccine Amendments ","Lee, T.","02/28/2025","05/07/2025","GSIGN","03/26/2025","396"
"HB0085S01","Environmental Permitting Modifications ","Clancy, T.","03/05/2025","05/07/2025","GSIGN","03/24/2025","121"
"HB0086S05","Homeowners' Association Requirements ","Brooks, W.","03/07/2025","05/07/2025","GSIGN","03/25/2025","197"
"HB0087S01","Drug Trafficking Amendments ","Gwynn, M.","03/04/2025","05/07/2025","GSIGN","03/25/2025","198"
"HB0089S01","Water Transfer Amendments ","Bennion, G.","02/28/2025","05/07/2025","GSIGN","03/24/2025","123"
"HB0091S01","Technical College Amendments ","Watkins, C.","02/10/2025","05/07/2025","GSIGN","03/26/2025","405"
"HB0092S02","Private Individual Force and Detention Amendments ","Brooks, W.","03/06/2025","05/07/2025","GSIGN","03/25/2025","199"
"HB0093","Rehabilitation Services Modifications ","Hall, K.","02/27/2025","05/07/2025","GSIGN","03/24/2025","126"
"HB0094","Exemptions from Dangerous Weapons Provisions ","Roberts, C.","02/20/2025","05/07/2025","GSIGN","03/25/2025","200"
"HB0095S02","Financial Disclosure Revisions ","Petersen, M.","02/21/2025","01/01/2026","GSIGN","03/24/2025","129"
"HB0096S01","Fraud Amendments ","Cutler, P.","03/07/2025","05/07/2025","GSIGN","03/25/2025","201"
"HB0097","Private Postsecondary Education Modifications ","Whyte, S.","02/14/2025","05/07/2025","GSIGN","02/27/2025","019"
"HB0098","Landowner Liability Amendments ","Shallenberger, D.","02/20/2025","05/07/2025","GSIGN","03/12/2025","028"
"HB0099","Residential Mortgage Loan Amendments ","Bennion, G.","02/28/2025","05/07/2025","GSIGN","03/25/2025","202"
"HB0100S03","Food Security Amendments ","Clancy, T.","03/06/2025","07/01/2025","GSIGN","03/25/2025","203"
"HB0103S03","State Land Access Road Amendments ","Shelley, T.","03/06/2025","05/07/2025","GSIGN","03/24/2025","131"
"HB0104S05","Firearm Safety in Schools Amendments ","Shipp, R.P.","03/07/2025","07/01/2025","GSIGN","03/27/2025","517"
"HB0105S01","Criminal Code Modifications ","Gwynn, M.","03/05/2025","05/07/2025","GSIGN","03/25/2025","204"
"HB0106S04","Income Tax Revisions ","Christofferson, K.","03/05/2025","05/07/2025","GSIGN","03/26/2025","407"
"HB0108","Fraudulent Deed Amendments ","Walter, N.","02/14/2025","05/07/2025","GSIGN","02/27/2025","020"
"HB0109","Municipal Election Amendments ","Abbott, N.","02/14/2025","05/07/2025","GSIGN","03/27/2025","516"
"HB0110S02","Combined Basic Tax Rate Reduction ","Auxier, T.","03/07/2025","07/01/2026","GSIGN","03/27/2025","518"
"HB0111","Workers' Compensation Amendments ","Loubet, A.","02/21/2025","05/07/2025","GSIGN","03/03/2025","022"
"HB0112S01","Motor Vehicle Safety Inspection Modifications ","Lisonbee, K.","03/03/2025","05/07/2025","GSIGN","03/25/2025","205"
"HB0114","Architects Licensing Act Amendments ","Lee, T.","02/27/2025","05/07/2025","GSIGN","03/25/2025","206"
"HB0115","State Park Funding Amendments ","Brooks, W.","03/03/2025","05/07/2025","GSIGN","03/19/2025","077"
"HB0119","Solar Panel Restrictions in Homeowners Associations Amendments ","Owens, D.","03/04/2025","05/07/2025","GSIGN","03/25/2025","207"
"HB0122S09","Military Affairs Amendments ","Burton, J.","03/07/2025","05/07/2025","GSIGN","03/19/2025","071"
"HB0124S01","Education Industry Employee Privacy ","Lee, T.","02/19/2025","07/01/2025","GSIGN","03/26/2025","409"
"HB0127S01","Sexual Crime Amendments ","Strong, M.A.","03/06/2025","05/07/2025","GSIGN","03/26/2025","412"
"HB0128S02","Dangerous Weapons Recodification and Cross References ","Gwynn, M.","03/06/2025","05/07/2025","GSIGN","03/25/2025","208"
"HB0129S02","Adoption Records Access Amendments ","Ward, R.","02/21/2025","11/01/2025","GSIGN","03/24/2025","133"
"HB0131","Talent Ready Utah Program Amendments ","Peterson, V.","02/12/2025","05/07/2025","GSIGN","03/26/2025","416"
"HB0134","Food Cart Amendments ","Dailey-Provost, J.","02/28/2025","05/07/2025","GSIGN","03/19/2025","078"
"HB0138","Food Labeling Amendments ","Walter, N.","02/27/2025","05/07/2025","GSIGN","03/19/2025","079"
"HB0139S02","Governmental Accounting Amendments ","Loubet, A.","03/06/2025","05/07/2025","GSIGN","03/25/2025","209"
"HB0141","Adoption Modifications ","Shipp, R.P.","02/20/2025","05/07/2025","GSIGN","03/24/2025","134"
"HB0142","Service Member and Veteran Amendments ","Teuscher, J.","02/28/2025","05/07/2025","GSIGN","03/26/2025","420"
"HB0144S01","School District Contracting Amendments ","Defay, A.","02/27/2025","05/07/2025","GSIGN","03/26/2025","419"
"HB0146","Mammography Amendments ","Hall, K.","02/13/2025","05/07/2025","GSIGN","03/24/2025","136"
"HB0148S02","Child Sexual Abuse Amendments ","Wilcox, R.","03/07/2025","05/07/2025","GSIGN","03/27/2025","519"
"HB0150S01","Emergency Communications Modifications ","Shallenberger, D.","02/28/2025","05/07/2025","GSIGN","03/25/2025","210"
"HB0152S01","Health Care Facilities Amendments ","Hall, K.","03/05/2025","05/07/2025","GSIGN","03/24/2025","137"
"HB0154S01","Punitive Damages Amendments ","Stoddard, A.","03/07/2025","05/07/2025","GSIGN","03/25/2025","211"
"HB0157S02","Energy Education Amendments ","Jack, C.","03/06/2025","05/07/2025","GSIGN","03/27/2025","521"
"HB0159","Protection Order Amendments ","Teuscher, J.","02/20/2025","05/07/2025","GSIGN","03/25/2025","212"
"HB0160S03","Professional License Degree Amendments ","Gricius, S.","03/07/2025","05/07/2025","GSIGN","03/25/2025","213"
"HB0161","School Bus Route Amendments ","Matthews, A.","02/21/2025","07/01/2025","GSIGN","03/03/2025","023"
"HB0163S01","Adult Probation and Parole Amendments ","Burton, J.","02/20/2025","05/07/2025","GSIGN","03/25/2025","214"
"HB0166S02","Trailer Registration and Uniform Fee Amendments ","Chew, S.","02/21/2025","01/01/2026","GSIGN","03/25/2025","215"
"HB0167S03","Offender Reintegration Amendments ","Clancy, T.","02/21/2025","03/24/2025","GSIGN","03/24/2025","138"
"HB0173","Controlled Substances Act Amendments ","Cutler, P.","02/27/2025","05/07/2025","GSIGN","03/25/2025","216"
"HB0174","Water Rights Restricted Account ","Albrecht, C.","02/25/2025","05/07/2025","GSIGN","03/19/2025","081"
"HB0175","Housing Construction Amendments ","Ward, R.","02/20/2025","05/07/2025","GSIGN","03/19/2025","080"
"HB0176S02","County Classification Amendments ","Brooks, W.","03/06/2025","07/01/2025","GSIGN","03/25/2025","217"
"HB0177S01","Glass Recycling Amendments ","Welton, D.","02/21/2025","05/07/2025","GSIGN","03/27/2025","522"
"HB0183S01","Noncitizen Restricted Person Amendments ","Lee, T.","03/06/2025","05/07/2025","GSIGN","03/25/2025","218"
"HB0184","School Trust Land Amendments ","Miller, T.","02/24/2025","07/01/2025","GSIGN","03/26/2025","424"
"HB0188S01","Dry Needling Amendments ","Cutler, P.","03/07/2025","05/07/2025","GSIGN","03/25/2025","219"
"HB0190S01","Motorcycle Amendments ","Thurston, N.","03/03/2025","01/01/2026","GSIGN","03/25/2025","220"
"HB0191S03","High School Credit Amendments ","Teuscher, J.","03/06/2025","07/01/2025","GSIGN","03/26/2025","427"
"HB0194S01","Beekeeping and Veterinary Amendments ","Defay, A.","02/26/2025","05/07/2025","GSIGN","03/19/2025","082"
"HB0195S01","Firearm Retention Amendments ","MacPherson, M.","03/05/2025","05/07/2025","GSIGN","03/26/2025","431"
"HB0196S01","Vehicle Traction Amendments ","Bennion, G.","02/28/2025","05/07/2025","GSIGN","03/26/2025","435"
"HB0197S02","Criminal Conduct Amendments ","Defay, A.","02/20/2025","05/07/2025","GSIGN","03/25/2025","221"
"HB0198S04","Highway Expansion Impacts on Signage Amendments ","Peterson, V.","03/07/2025","05/07/2025","GSIGN","03/26/2025","436"
"HB0199S02","Substance Use Treatment and Enforcement Amendments ","Clancy, T.","03/06/2025","05/07/2025","GSIGN","03/24/2025","141"
"HB0200","Outdoor Recreation Amendments ","Cutler, P.","02/14/2025","05/07/2025","GSIGN","03/19/2025","083"
"HB0201S03","Energy Resource Amendments ","Jack, C.","02/21/2025","05/07/2025","GSIGN","03/25/2025","222"
"HB0202S04","Private Landowner Big Game Revisions ","Albrecht, C.","03/07/2025","05/07/2025","GSIGN","03/19/2025","084"
"HB0204","Stipends for Future Educators Grant Program Amendments ","Peterson, K.","03/04/2025","07/01/2025","GSIGN","03/26/2025","433"
"HB0207S03","Sexual Offense Revisions ","Whyte, S.","03/05/2025","05/07/2025","GSIGN","03/25/2025","223"
"HB0208","Urban Farming Assessment Modifications ","Kyle, J.","03/04/2025","05/07/2025","GSIGN","03/19/2025","085"
"HB0209S03","Homeschool Amendments ","Peck, N.","03/05/2025","05/07/2025","GSIGN","03/26/2025","370"
"HB0212S01","Advanced Transmission Technologies ","Watkins, C.","02/21/2025","05/07/2025","GSIGN","03/25/2025","224"
"HB0216S01","Income Tax Revenue Amendments ","Thurston, N.","03/03/2025","07/01/2025","GSIGN","03/25/2025","225"
"HB0217S05","Homeowners' Association Amendments ","Walter, N.","03/07/2025","05/07/2025","GSIGN","03/25/2025","226"
"HB0219S01","Charter School Funding Revisions ","Walter, N.","03/04/2025","07/01/2025","GSIGN","03/26/2025","369"
"HB0222S01","Access to Traffic Accident Evidence ","Stoddard, A.","02/27/2025","05/07/2025","GSIGN","03/26/2025","372"
"HB0223","State Grant Requirements ","Dailey-Provost, J.","02/20/2025","05/07/2025","GSIGN","03/19/2025","087"
"HB0224S02","Inmate Reentry, Finances, and Debt Modifications ","Ballard, M.G.","03/05/2025","05/07/2025","GSIGN","03/19/2025","086"
"HB0226S04","Criminal Amendments ","Pierucci, C.","03/06/2025","05/07/2025","GSIGN","03/25/2025","227"
"HB0228","Public Education Immunization Amendments ","Lisonbee, K.","02/28/2025","05/07/2025","GSIGN","03/26/2025","371"
"HB0229","Transportation Funds Amendments ","Christofferson, K.","02/21/2025","05/07/2025","GSIGN","03/26/2025","373"
"HB0230S03","Blockchain and Digital Innovation Amendments ","Teuscher, J.","03/07/2025","05/07/2025","GSIGN","03/25/2025","228"
"HB0233S01","School Curriculum Amendments ","Peck, N.","03/07/2025","07/01/2025","GSIGN","03/26/2025","374"
"HB0234S01","Motorcycle Safety Amendments ","Defay, A.","02/21/2025","05/07/2025","GSIGN","03/25/2025","229"
"HB0235S02","County Auditor Modifications ","Teuscher, J.","02/20/2025","05/07/2025","GSIGN","03/25/2025","230"
"HB0237S01","Rollback Tax Amendments ","Snider, C.","03/03/2025","05/07/2025","GSIGN","03/24/2025","143"
"HB0239","Disaster Funds Revisions ","Albrecht, C.","02/27/2025","05/07/2025","GSIGN","03/19/2025","089"
"HB0240S02","Urban Farming Assessment Amendments ","Shipp, R.P.","03/07/2025","05/07/2025","GSIGN","03/24/2025","144"
"HB0243","Agricultural Water Optimization Amendments ","Shallenberger, D.","03/06/2025","05/07/2025","GSIGN","03/24/2025","099"
"HB0244S01","Wildlife Management Area Amendments ","Snider, C.","03/07/2025","05/07/2025","GSIGN","03/24/2025","097"
"HB0246S01","Statewide Online Education Program Amendments ","Elison, J.","03/05/2025","07/01/2025","GSIGN","03/27/2025","523"
"HB0248","Veteran Protections Amendments ","Mauga, V.","03/06/2025","05/07/2025","GSIGN","03/25/2025","231"
"HB0249S04","Nuclear Power Amendments ","Albrecht, C.","03/06/2025","05/07/2025","GSIGN","03/26/2025","375"
"HB0251","Pollinator Program Amendments ","Matthews, A.","03/05/2025","05/07/2025","GSIGN","03/24/2025","094"
"HB0252S01","State Custody Amendments ","Lisonbee, K.","02/20/2025","05/07/2025","GSIGN","03/19/2025","088"
"HB0253S01","Agriculture and Food Amendments ","Albrecht, C.","02/20/2025","05/07/2025","GSIGN","03/24/2025","091"
"HB0254","Waste Classification Amendments ","Bolinder, B.","02/24/2025","05/07/2025","GSIGN","03/24/2025","092"
"HB0255S01","Local Land Use Modifications ","Chew, S.","02/27/2025","05/07/2025","GSIGN","03/24/2025","100"
"HB0256S03","Municipal and County Zoning Amendments ","Walter, N.","03/06/2025","05/07/2025","GSIGN","03/19/2025","037"
"HB0257S01","Pharmacy Benefit Amendments ","Thurston, N.","03/06/2025","05/07/2025","GSIGN","03/27/2025","525"
"HB0258S01","Medicare Supplement Insurance Amendments ","Fitisemanu, J.","02/27/2025","05/07/2025","GSIGN","03/26/2025","376"
"HB0259","Tax Commission Amendments ","Eliason, S.","02/14/2025","05/07/2025","GSIGN","03/25/2025","232"
"HB0260S02","First Credential Program ","Peterson, V.","03/05/2025","07/01/2025","GSIGN","03/26/2025","377"
"HB0261S02","Towing Modifications ","Maloy, A. Cory","03/07/2025","01/01/2026","GSIGN","03/26/2025","378"
"HB0263S02","Election Record Amendments ","Thurston, N.","03/07/2025","05/07/2025","GSIGN","03/27/2025","524"
"HB0264S01","Tax Incentives Amendments ","Christofferson, K.","02/24/2025","05/07/2025","GSIGN","03/25/2025","233"
"HB0265S01","Higher Education Strategic Reinvestment ","Peterson, K.","03/05/2025","03/26/2025","GSIGN","03/26/2025","379"
"HB0266","Veteran Housing Amendments ","Dailey-Provost, J.","02/21/2025","05/07/2025","GSIGN","03/27/2025","528"
"HB0267S01","Public Sector Labor Union Amendments ","Teuscher, J.","02/06/2025","07/01/2025","GSIGN","02/14/2025","010"
"HB0268","Nonresident Online School Amendments ","Miller, T.","03/07/2025","07/01/2025","GSIGN","03/27/2025","529"
"HB0269S01","Privacy Protections in Sex-designated Areas ","Gricius, S.","02/10/2025","06/01/2025","GSIGN","02/14/2025","011"
"HB0272S01","Vehicle Assessment Amendments ","Okerlund, C.","03/04/2025","07/01/2025","GSIGN","03/25/2025","234"
"HB0273S02","Law Enforcement Investigation Amendments ","Wilcox, R.","03/06/2025","05/07/2025","GSIGN","03/25/2025","235"
"HB0274S05","Water Amendments ","Snider, C.","03/07/2025","05/07/2025","GSIGN","03/24/2025","102"
"HB0276S05","Commitment Revisions ","Abbott, N.","03/07/2025","05/07/2025","GSIGN","03/19/2025","046"
"HB0278S04","Massage Therapy Amendments ","Thurston, N.","03/05/2025","10/01/2025","GSIGN","03/25/2025","236"
"HB0279S02","Earned Wage Access Services Act ","Maloy, A. Cory","03/04/2025","05/07/2025","GSIGN","03/25/2025","237"
"HB0281S03","Health Curriculum and Procedures Amendments ","Gricius, S.","03/07/2025","07/01/2025","GSIGN","03/26/2025","380"
"HB0282","Health and Human Services Modifications ","Barlow, S.","02/27/2025","05/07/2025","GSIGN","03/19/2025","047"
"HB0283","Child and Family Services Amendments ","Gricius, S.","03/07/2025","05/07/2025","GSIGN","03/19/2025","048"
"HB0285S01","Water Infrastructure Modifications ","Snider, C.","02/28/2025","05/07/2025","GSIGN","03/24/2025","105"
"HB0287","Stalking Amendments ","Gricius, S.","03/04/2025","05/07/2025","GSIGN","03/25/2025","238"
"HB0290","Bicycle Lane Safety Amendments ","Mauga, V.","02/28/2025","05/07/2025","GSIGN","03/27/2025","527"
"HB0294","Infectious Disease Procedures Amendments ","MacPherson, M.","02/27/2025","05/07/2025","GSIGN","03/24/2025","109"
"HB0296S01","Recovery Residence Services Amendments ","Kyle, J.","03/07/2025","05/07/2025","GSIGN","03/19/2025","051"
"HB0297S01","Expungement Amendments ","Auxier, T.","03/07/2025","05/07/2025","GSIGN","03/25/2025","239"
"HB0298","Volunteer Emergency Medical Service Personnel Insurance Program Amendments ","Welton, D.","03/05/2025","05/07/2025","GSIGN","03/25/2025","240"
"HB0300S04","Amendments to Election Law ","Burton, J.","03/06/2025","05/07/2025","GSIGN","03/26/2025","381"
"HB0301S03","Ambulance Provider Payment Amendments ","Maloy, A. Cory","03/06/2025","05/07/2025","GSIGN","03/25/2025","241"
"HB0302S03","Minors in State Custody Amendments ","Fiefia, D.","03/05/2025","07/01/2025","GSIGN","03/24/2025","110"
"HB0306S04","Precious Metals Amendments ","Ivory, K.","03/07/2025","05/07/2025","GVETO","03/27/2025",""
"HB0307S03","Wildfire Funding Amendments ","Snider, C.","03/05/2025","07/01/2025","GSIGN","03/24/2025","113"
"HB0308S03","Driving by Minors Amendments ","Koford, J.","03/03/2025","05/07/2025","GSIGN","03/25/2025","242"
"HB0309S02","Wildlife Amendments ","Snider, C.","03/05/2025","05/07/2025","GSIGN","03/24/2025","116"
"HB0310S01","Disability Coverage Amendments ","Dailey-Provost, J.","03/05/2025","05/07/2025","GSIGN","03/19/2025","053"
"HB0311S03","Watershed Amendments ","Snider, C.","03/07/2025","05/07/2025","GSIGN","03/24/2025","119"
"HB0312S05","Criminal Justice Amendments ","Lisonbee, K.","03/05/2025","09/01/2025","GSIGN","03/25/2025","243"
"HB0313S04","Construction Industry Amendments ","Peterson, T.","03/07/2025","07/01/2025","GSIGN","03/27/2025","532"
"HB0315","Elected Official Vacancy Modifications ","Stoddard, A.","02/20/2025","05/07/2025","GVETO","03/27/2025",""
"HB0317S01","Executive Agency Innovation Incentives ","Ballard, M.G.","02/28/2025","05/07/2025","GSIGN","03/19/2025","054"
"HB0321S01","Utah Olympics Amendments ","Hawkins, J.","03/07/2025","05/07/2025","GSIGN","03/25/2025","244"
"HB0322S02","Child Actor Regulations ","Owens, D.","03/07/2025","05/07/2025","GSIGN","03/25/2025","245"
"HB0323","Correctional Drug Enforcement Amendments ","Burton, J.","03/04/2025","05/07/2025","GSIGN","03/25/2025","246"
"HB0324S06","Special Group License Plate Amendments ","Peterson, V.","03/06/2025","07/01/2025","GSIGN","03/25/2025","247"
"HB0329S03","Homeless Services Amendments ","Clancy, T.","03/07/2025","05/07/2025","GSIGN","03/27/2025","530"
"HB0333S02","Medications in Schools Amendments ","Koford, J.","03/07/2025","05/07/2025","GSIGN","03/24/2025","122"
"HB0334","Guardianships and Supported Decision-Making Agreements Amendments ","Abbott, N.","03/07/2025","05/07/2025","GSIGN","03/27/2025","533"
"HB0337S02","Property Manager Requirements ","Teuscher, J.","03/03/2025","01/01/2026","GSIGN","03/25/2025","248"
"HB0339","Law Enforcement Investigation Modifications ","Gwynn, M.","03/04/2025","05/07/2025","GSIGN","03/25/2025","249"
"HB0340S01","Solar Power Amendments ","Ward, R.","02/28/2025","05/07/2025","GSIGN","03/25/2025","250"
"HB0341S02","Higher Education Revisions ","Peterson, V.","03/05/2025","05/07/2025","GSIGN","03/26/2025","384"
"HB0342","Animal Composting Amendments ","Kohler, M.","02/24/2025","05/07/2025","GSIGN","03/24/2025","125"
"HB0343","Cannabis Production Amendments ","Cutler, P.","03/06/2025","05/07/2025","GSIGN","03/24/2025","128"
"HB0344S01","School Fees Amendments ","Strong, M.A.","02/28/2025","03/26/2025","GSIGN","03/26/2025","382"
"HB0345","State Park Road Amendments ","Sawyer, J.","02/20/2025","05/07/2025","GSIGN","03/26/2025","386"
"HB0346","Department of Agriculture and Food Amendments ","Welton, D.","03/07/2025","05/07/2025","GSIGN","03/24/2025","130"
