District,Office,Name,Party,Email,County(ies),sheet_name,First Name,Middle Name,Last Name,Name on Ballot,record_id
50,State House,"Gricius, Stephanie",R,sgricius@le.utah.gov,Utah,State_House,Stephanie,,"Gricius,","Stephanie  Gricius,",STEPHANIE-STATE HOUSE-50
51,State House,"Moss, Jefferson",R,jeffersonmoss@le.utah.gov,Utah,State_House,Jefferson,,"Moss,","Jefferson  Moss,",JEFFERSON-STATE HOUSE-51
52,State House,"Maloy, A. Cory",R,corymaloy@le.utah.gov,Utah,State_House,A.,Cory,"Maloy,","A. Cory Maloy,",A.-STATE HOUSE-52
53,State House,"Christofferson, Kay J.",R,kchristofferson@le.utah.gov,Utah,State_House,Kay,J.,"Christofferson,","Kay J. Christofferson,",KAY-STATE HOUSE-53
54,State House,"Brammer, Brady",R,bbrammer@le.utah.gov,Utah,State_House,Brady,,"Brammer,","Brady  Brammer,",BRADY-STATE HOUSE-54
55,State House,"Hawkins, Jon",R,jhawkins@le.utah.gov,Utah,State_House,Jon,,"Hawkins,","Jon  Hawkins,",JON-STATE HOUSE-55
56,State House,"Peterson, Val L.",R,vpeterson@le.utah.gov,Utah,State_House,Val,L.,"Peterson,","Val L. Peterson,",VAL-STATE HOUSE-56
57,State House,"Abbott, Nelson T.",R,nabbott@le.utah.gov,Utah,State_House,Nelson,T.,"Abbott,","Nelson T. Abbott,",NELSON-STATE HOUSE-57
58,State House,"Stratton, Keven J.",R,kstratton@le.utah.gov,Utah,State_House,Keven,J.,"Stratton,","Keven J. Stratton,",KEVEN-STATE HOUSE-58
59,State House,"Kohler, Mike L.",R,mkohler@le.utah.gov,"Summit, Wasatch",State_House,Mike,L.,"Kohler,","Mike L. Kohler,",MIKE-STATE HOUSE-59
60,State House,"Clancy, Tyler",R,tclancy@le.utah.gov,Utah,State_House,Tyler,,"Clancy,","Tyler  Clancy,",TYLER-STATE HOUSE-60
61,State House,"Judkins, Marsha",R,mjudkins@le.utah.gov,Utah,State_House,Marsha,,"Judkins,","Marsha  Judkins,",MARSHA-STATE HOUSE-61
62,State House,"Thurston, Norman K",R,normthurston@le.utah.gov,Utah,State_House,Norman,K,"Thurston,","Norman K Thurston,",NORMAN-STATE HOUSE-62
63,State House,"Whyte, Stephen L.",R,swhyte@le.utah.gov,Utah,State_House,Stephen,L.,"Whyte,","Stephen L. Whyte,",STEPHEN-STATE HOUSE-63
64,State House,"Burton, Jefferson S.",R,jburton@le.utah.gov,Utah,State_House,Jefferson,S.,"Burton,","Jefferson S. Burton,",JEFFERSON-STATE HOUSE-64
65,State House,"Welton, Douglas R.",R,dwelton@le.utah.gov,Utah,State_House,Douglas,R.,"Welton,","Douglas R. Welton,",DOUGLAS-STATE HOUSE-65
66,State House,"Lund, Steven J.",R,slund@le.utah.gov,"Juab, Sanpete",State_House,Steven,J.,"Lund,","Steven J. Lund,",STEVEN-STATE HOUSE-66
67,State House,"Watkins, Christine F.",R,christinewatkins@le.utah.gov,"Carbon, Duchesne, Emery, Grand",State_House,Christine,F.,"Watkins,","Christine F. Watkins,",CHRISTINE-STATE HOUSE-67
68,State House,"Chew, Scott H.",R,scottchew@le.utah.gov,"Duchesne, Uintah",State_House,Scott,H.,"Chew,","Scott H. Chew,",SCOTT-STATE HOUSE-68
69,State House,"Lyman, Phil",R,plyman@le.utah.gov,"Emery, Garfield, Grand, Kane, San Juan, Wayne",State_House,Phil,,"Lyman,","Phil  Lyman,",PHIL-STATE HOUSE-69
70,State House,"Albrecht, Carl R.",R,carlalbrecht@le.utah.gov,"Sevier, Piute, Beaver, and Iron",State_House,Carl,R.,"Albrecht,","Carl R. Albrecht,",CARL-STATE HOUSE-70
71,State House,"Shipp, Rex P.",R,rshipp@le.utah.gov,Iron,State_House,Rex,P.,"Shipp,","Rex P. Shipp,",REX-STATE HOUSE-71
72,State House,"Elison, Joseph",R,jelison@le.utah.gov,Washington,State_House,Joseph,,"Elison,","Joseph  Elison,",JOSEPH-STATE HOUSE-72
73,State House,"Jack, Colin W.",R,cjack@le.utah.gov,Washington,State_House,Colin,W.,"Jack,","Colin W. Jack,",COLIN-STATE HOUSE-73
74,State House,"Walter, R. Neil",R,nwalter@le.utah.gov,Washington,State_House,R.,Neil,"Walter,","R. Neil Walter,",R.-STATE HOUSE-74
75,State House,"Brooks, Walt",R,wbrooks@le.utah.gov,Washington,State_House,Walt,,"Brooks,","Walt  Brooks,",WALT-STATE HOUSE-75
1,State Senate,"Sandall, Scott D.",R,ssandall@le.utah.gov,"Box Elder, Cache, Tooele",State_Senate,Scott,D.,"Sandall,","Scott D. Sandall,",SCOTT-STATE SENATE-1
2,State Senate,"Wilson, Chris H.",R,cwilson@le.utah.gov,"Cache, Rich",State_Senate,Chris,H.,"Wilson,","Chris H. Wilson,",CHRIS-STATE SENATE-2
3,State Senate,"Johnson, John D.",R,jjohnson@le.utah.gov,"Morgan, Summit, Weber",State_Senate,John,D.,"Johnson,","John D. Johnson,",JOHN-STATE SENATE-3
4,State Senate,"Buxton, David G.",R,gbuxton@le.utah.gov,"Davis, Weber",State_Senate,David,G.,"Buxton,","David G. Buxton,",DAVID-STATE SENATE-4
5,State Senate,"Millner, Ann",R,amillner@le.utah.gov,"Davis, Morgan, Weber",State_Senate,Ann,,"Millner,","Ann  Millner,",ANN-STATE SENATE-5
6,State Senate,"Stevenson, Jerry W.",R,jwstevenson@le.utah.gov,Davis,State_Senate,Jerry,W.,"Stevenson,","Jerry W. Stevenson,",JERRY-STATE SENATE-6
7,State Senate,"Adams, J. Stuart",R,jsadams@le.utah.gov,Davis,State_Senate,J.,Stuart,"Adams,","J. Stuart Adams,",J.-STATE SENATE-7
8,State Senate,"Weiler, Todd D.",R,tweiler@le.utah.gov,"Davis, Salt Lake",State_Senate,Todd,D.,"Weiler,","Todd D. Weiler,",TODD-STATE SENATE-8
9,State Senate,"Plumb, Jen",D,jplumb@le.utah.gov,Salt Lake,State_Senate,Jen,,"Plumb,","Jen  Plumb,",JEN-STATE SENATE-9
10,State Senate,"Escamilla, Luz",D,lescamilla@le.utah.gov,Salt Lake,State_Senate,Luz,,"Escamilla,","Luz  Escamilla,",LUZ-STATE SENATE-10
11,State Senate,"Thatcher, Daniel W.",R,dthatcher@le.utah.gov,"Salt Lake, Tooele",State_Senate,Daniel,W.,"Thatcher,","Daniel W. Thatcher,",DANIEL-STATE SENATE-11
12,State Senate,"Kwan, Karen",D,kkwan@le.utah.gov,Salt Lake,State_Senate,Karen,,"Kwan,","Karen  Kwan,",KAREN-STATE SENATE-12
13,State Senate,"Blouin, Nate",D,nblouin@le.utah.gov,Salt Lake,State_Senate,Nate,,"Blouin,","Nate  Blouin,",NATE-STATE SENATE-13
14,State Senate,"Pitcher, Stephanie",D,spitcher@le.utah.gov,Salt Lake,State_Senate,Stephanie,,"Pitcher,","Stephanie  Pitcher,",STEPHANIE-STATE SENATE-14
15,State Senate,"Riebe, Kathleen A.",D,kriebe@le.utah.gov,Salt Lake,State_Senate,Kathleen,A.,"Riebe,","Kathleen A. Riebe,",KATHLEEN-STATE SENATE-15
16,State Senate,"Harper, Wayne A.",R,wharper@le.utah.gov,Salt Lake,State_Senate,Wayne,A.,"Harper,","Wayne A. Harper,",WAYNE-STATE SENATE-16
17,State Senate,"Fillmore, Lincoln",R,lfillmore@le.utah.gov,Salt Lake,State_Senate,Lincoln,,"Fillmore,","Lincoln  Fillmore,",LINCOLN-STATE SENATE-17
18,State Senate,"McCay, Daniel",R,dmccay@le.utah.gov,"Salt Lake, Utah",State_Senate,Daniel,,"McCay,","Daniel  McCay,",DANIEL-STATE SENATE-18
19,State Senate,"Cullimore, Kirk A.",R,kcullimore@le.utah.gov,Salt Lake,State_Senate,Kirk,A.,"Cullimore,","Kirk A. Cullimore,",KIRK-STATE SENATE-19
20,State Senate,"Winterton, Ronald M.",R,rwinterton@le.utah.gov,"Daggett, Duchesne, Summit, Uintah, Wasatch",State_Senate,Ronald,M.,"Winterton,","Ronald M. Winterton,",RONALD-STATE SENATE-20
21,State Senate,"Kennedy, Michael S.",R,mkennedy@le.utah.gov,Utah,State_Senate,Michael,S.,"Kennedy,","Michael S. Kennedy,",MICHAEL-STATE SENATE-21
22,State Senate,"Balderree, Heidi",R,hbalderree@le.utah.gov,"Salt Lake, Utah",State_Senate,Heidi,,"Balderree,","Heidi  Balderree,",HEIDI-STATE SENATE-22
23,State Senate,"Grover, Keith",R,keithgrover@le.utah.gov,Utah,State_Senate,Keith,,"Grover,","Keith  Grover,",KEITH-STATE SENATE-23
24,State Senate,"Bramble, Curtis S.",R,curt@cbramble.com,"Utah, Wasatch",State_Senate,Curtis,S.,"Bramble,","Curtis S. Bramble,",CURTIS-STATE SENATE-24
25,State Senate,"McKell, Michael K.",R,mmckell@le.utah.gov,Utah,State_Senate,Michael,K.,"McKell,","Michael K. McKell,",MICHAEL-STATE SENATE-25
26,State Senate,"Hinkins, David P.",R,dhinkins@le.utah.gov,"Carbon, Emery, Grand, San Juan, Utah, Wasatch",State_Senate,David,P.,"Hinkins,","David P. Hinkins,",DAVID-STATE SENATE-26
27,State Senate,"Owens, Derrin R.",R,derrinowens@le.utah.gov,"Beaver, Garfield, Juab, Kane, Millard, Piute, Sanpete, Sevier, Utah, Wayne",State_Senate,Derrin,R.,"Owens,","Derrin R. Owens,",DERRIN-STATE SENATE-27
28,State Senate,"Vickers, Evan J.",R,evickers@le.utah.gov,"Beaver, Iron, Washington",State_Senate,Evan,J.,"Vickers,","Evan J. Vickers,",EVAN-STATE SENATE-28
29,State Senate,"Ipson, Don L.",R,dipson@le.utah.gov,Washington,State_Senate,Don,L.,"Ipson,","Don L. Ipson,",DON-STATE SENATE-29
1,State School Board,Jennie Earl,NO PARTY,No Email,No County,State_School_Board,Jennie,,Earl,Jennie  Earl,JENNIE-STATE SCHOOL BOARD-1
2,State School Board,Joseph Kerry,NO PARTY,No Email,No County,State_School_Board,Joseph,,Kerry,Joseph  Kerry,JOSEPH-STATE SCHOOL BOARD-2
3,State School Board,Brent J Strate,NO PARTY,No Email,No County,State_School_Board,Brent,J,Strate,Brent J Strate,BRENT-STATE SCHOOL BOARD-3
5,State School Board,LeAnn Wood,NO PARTY,No Email,No County,State_School_Board,LeAnn,,Wood,LeAnn  Wood,LEANN-STATE SCHOOL BOARD-5
5,State School Board,Sarah Reale,NO PARTY,No Email,No County,State_School_Board,Sarah,,Reale,Sarah  Reale,SARAH-STATE SCHOOL BOARD-5
6,State School Board,Carol Barlow Lear,NO PARTY,No Email,No County,State_School_Board,Carol,Barlow,Lear,Carol Barlow Lear,CAROL-STATE SCHOOL BOARD-6
7,State School Board,Molly Hart,NO PARTY,No Email,No County,State_School_Board,Molly,,Hart,Molly  Hart,MOLLY-STATE SCHOOL BOARD-7
8,State School Board,Christina Boggess,NO PARTY,No Email,No County,State_School_Board,Christina,,Boggess,Christina  Boggess,CHRISTINA-STATE SCHOOL BOARD-8
9,State School Board,Natalie Cline,NO PARTY,No Email,No County,State_School_Board,Natalie,,Cline,Natalie  Cline,NATALIE-STATE SCHOOL BOARD-9
10,State School Board,Matt Hymas,NO PARTY,No Email,No County,State_School_Board,Matt,,Hymas,Matt  Hymas,MATT-STATE SCHOOL BOARD-10
11,State School Board,Cindy Bishop Davis,NO PARTY,No Email,No County,State_School_Board,Cindy,Bishop,Davis,Cindy Bishop Davis,CINDY-STATE SCHOOL BOARD-11
12,State School Board,James Moss,NO PARTY,No Email,No County,State_School_Board,James,,Moss,James  Moss,JAMES-STATE SCHOOL BOARD-12
13,State School Board,Randy Boothe,NO PARTY,No Email,No County,State_School_Board,Randy,,Boothe,Randy  Boothe,RANDY-STATE SCHOOL BOARD-13
14,State School Board,Emily Green,NO PARTY,No Email,No County,State_School_Board,Emily,,Green,Emily  Green,EMILY-STATE SCHOOL BOARD-14
15,State School Board,Kristan Norton,NO PARTY,No Email,No County,State_School_Board,Kristan,,Norton,Kristan  Norton,KRISTAN-STATE SCHOOL BOARD-15
