Bill Number,Process Tag,Date,Day of Legislature,Bill Title,Description,Notecard,Topics,Read,Bill Sponsor,Office
HB 169,Rules 1,,0,State Board of Education Amendments,No description available,School Board Ethics and Accountibility,Education,Not specified,Douglas R. Welton,State House
HB 169,Committee 1,,0,State Board of Education Amendments,No description available,School Board Ethics and Accountibility,Education,Not specified,Douglas R. Welton,State House
HB 169,Floor Vote 1.1,,0,State Board of Education Amendments,No description available,School Board Ethics and Accountibility,Education,Not specified,Douglas R. Welton,State House
HB 178,Rules 1,2025-01-21,1,Noncitizen Health Insurance Policies Amendments,Eliminates an alternate eligibility program under Utah's Children's Health Insurance Program (CHIP) that allows some noncitizen children to access healthcare,CHIPping Away at Coverage,"Public Health, Children's Health",Negative,Neil Walter,State House
HB 182,Committee 1,2025-01-31,11,Rental Amendments,Would require at least 30 days notice from a landlord that they are going to increase the rent of a tenant,Rent Increase Notice and Transparency,Renter's Rights,Positive,Gay Lynn Bennion,State House
HB 182,Graveyard,2025-02-03,14,Rental Amendments,Would require at least 30 days notice from a landlord that they are going to increase the rent of a tenant,Rent Increase Notice and Transparency,Renter's Rights,Positive,Gay Lynn Bennion,State House
HB 182,Rules 1,,0,Rental Amendments,Would require at least 30 days notice from a landlord that they are going to increase the rent of a tenant,Rent Increase Notice and Transparency,Renter's Rights,Positive,Gay Lynn Bennion,State House
HB 192,Rules 1,2025-02-11,22,Public Education Scholarship Program Use Amendments,Would ban the use of the utah fits all scholarship using the funds to buy things like ski passes,No Frivolous Scholarship Spending,Education,Nuetral,Jennifer Dailey-Provost,State House
HB 205,Rules 1,2025-02-10,21,Ballot Counting and Drop Box Modifications,"Requires ballots to be received (not just postmarked) by 8 p.m. on Election Day, likely throwing out thousands of votes due to mail delays",Your Vote Got Lost in Transit,Election,Negative,Norm Thurston,State House
HB 206,Graveyard,2025-02-06,17,Chronic Absenteeism Pilot Program,Instead of punishing kids for being cronically absent during school it would create a pilot program if you have 90% attendance for the school year it would invest up to $400 annually into a My529 account (student education funding account),Student Attendance Incentives,Education,Positive,Sahara Hayes,State House
HB 206,Rules 1,,0,Chronic Absenteeism Pilot Program,Instead of punishing kids for being cronically absent during school it would create a pilot program if you have 90% attendance for the school year it would invest up to $400 annually into a My529 account (student education funding account),Student Attendance Incentives,Education,Positive,Sahara Hayes,State House
HB 206,Committee 1,,0,Chronic Absenteeism Pilot Program,Instead of punishing kids for being cronically absent during school it would create a pilot program if you have 90% attendance for the school year it would invest up to $400 annually into a My529 account (student education funding account),Student Attendance Incentives,Education,Positive,Sahara Hayes,State House
HB 209,Floor Vote 1.1,2025-02-03,14,Homeschool Amendments,Removes the requirement for homeschool parents to go through a background check,"Trust Us, We're Parents",Education,Negative,Nicholeen Peck,State House
HB 209,Rules 2,2025-02-06,17,Homeschool Amendments,Removes the requirement for homeschool parents to go through a background check,"Trust Us, We're Parents",Education,Negative,Nicholeen Peck,State House
HB 209,Committee 2,2025-02-18,29,Homeschool Amendments,Removes the requirement for homeschool parents to go through a background check,"Trust Us, We're Parents",Education,Negative,Nicholeen Peck,State House
HB 209,Floor Vote 2.1,2025-02-19,30,Homeschool Amendments,Removes the requirement for homeschool parents to go through a background check,"Trust Us, We're Parents",Education,Negative,Nicholeen Peck,State House
HB 209,Floor Vote 2.2,2025-02-20,31,Homeschool Amendments,Removes the requirement for homeschool parents to go through a background check,"Trust Us, We're Parents",Education,Negative,Nicholeen Peck,State House
HB 209,Rules 1,,0,Homeschool Amendments,Removes the requirement for homeschool parents to go through a background check,"Trust Us, We're Parents",Education,Negative,Nicholeen Peck,State House
HB 209,Committee 1,,0,Homeschool Amendments,Removes the requirement for homeschool parents to go through a background check,"Trust Us, We're Parents",Education,Negative,Nicholeen Peck,State House
HB 209,Floor Vote 1.2,,0,Homeschool Amendments,Removes the requirement for homeschool parents to go through a background check,"Trust Us, We're Parents",Education,Negative,Nicholeen Peck,State House
HB 209,Floor Vote 1.3,,0,Homeschool Amendments,Removes the requirement for homeschool parents to go through a background check,"Trust Us, We're Parents",Education,Negative,Nicholeen Peck,State House
HB 213,Rules 1,2025-01-23,3,Voting Revisions,"Changes Utah's successful vote-by-mail system from automatic enrollment to an opt-in-system, requiring voters to re-register just to receive their ballots.",Make Voting Harder,Election,Negative,Rex Shipp,State House
HB 214,Committee 1,2025-02-14,25,Employer Verification Amendments,Makes changes to how employers can employ people certain employers have to use a system called e-verify to verify legal to work status would change number of employees from 50 to 5,E-verybody Must be Verified,"Government, Employment",Negative,Neil Walter,State House
HB 214,Graveyard,2025-02-19,30,Employer Verification Amendments,Makes changes to how employers can employ people certain employers have to use a system called e-verify to verify legal to work status would change number of employees from 50 to 5,E-verybody Must be Verified,"Government, Employment",Negative,Neil Walter,State House
HB 214,Rules 1,,0,Employer Verification Amendments,Makes changes to how employers can employ people certain employers have to use a system called e-verify to verify legal to work status would change number of employees from 50 to 5,E-verybody Must be Verified,"Government, Employment",Negative,Neil Walter,State House
HB 226,Floor Vote 1.1,2025-02-05,16,Criminal Amendments,Increases penalties for noncitizens by raising maximum misdemeanor sentences to one year -- triggering automatic deportation when they are released. Also forces law enforcement to notifiy ICE when arresting certain individuals,ICE Age,"Immigration, Criminal Justice System",Negative,Candice Pierucci,State House
HB 226,Rules 2,2025-02-12,23,Criminal Amendments,Increases penalties for noncitizens by raising maximum misdemeanor sentences to one year -- triggering automatic deportation when they are released. Also forces law enforcement to notifiy ICE when arresting certain individuals,ICE Age,"Immigration, Criminal Justice System",Negative,Candice Pierucci,State House
HB 226,Committee 2,2025-02-21,32,Criminal Amendments,Increases penalties for noncitizens by raising maximum misdemeanor sentences to one year -- triggering automatic deportation when they are released. Also forces law enforcement to notifiy ICE when arresting certain individuals,ICE Age,"Immigration, Criminal Justice System",Negative,Candice Pierucci,State House
HB 226,Rules 1,,0,Criminal Amendments,Increases penalties for noncitizens by raising maximum misdemeanor sentences to one year -- triggering automatic deportation when they are released. Also forces law enforcement to notifiy ICE when arresting certain individuals,ICE Age,"Immigration, Criminal Justice System",Negative,Candice Pierucci,State House
HB 226,Committee 1,,0,Criminal Amendments,Increases penalties for noncitizens by raising maximum misdemeanor sentences to one year -- triggering automatic deportation when they are released. Also forces law enforcement to notifiy ICE when arresting certain individuals,ICE Age,"Immigration, Criminal Justice System",Negative,Candice Pierucci,State House
HB 226,Floor Vote 1.2,,0,Criminal Amendments,Increases penalties for noncitizens by raising maximum misdemeanor sentences to one year -- triggering automatic deportation when they are released. Also forces law enforcement to notifiy ICE when arresting certain individuals,ICE Age,"Immigration, Criminal Justice System",Negative,Candice Pierucci,State House
HB 226,Floor Vote 1.3,,0,Criminal Amendments,Increases penalties for noncitizens by raising maximum misdemeanor sentences to one year -- triggering automatic deportation when they are released. Also forces law enforcement to notifiy ICE when arresting certain individuals,ICE Age,"Immigration, Criminal Justice System",Negative,Candice Pierucci,State House
HB 233,Rules 1,2025-02-03,14,School Curriculum Amendments,Prohibits Utah schools from working with Planned Parenthood for health education programs,"The Birds, The Bees and The Ban","Public Health, Education",Negative,Nicholeen Peck,State House
HB 233,Floor Vote 1.1,2025-02-13,24,School Curriculum Amendments,Prohibits Utah schools from working with Planned Parenthood for health education programs,"The Birds, The Bees and The Ban","Public Health, Education",Negative,Nicholeen Peck,State House
HB 233,Rules 2,2025-02-21,32,School Curriculum Amendments,Prohibits Utah schools from working with Planned Parenthood for health education programs,"The Birds, The Bees and The Ban","Public Health, Education",Negative,Nicholeen Peck,State House
HB 233,Committee 1,,0,School Curriculum Amendments,Prohibits Utah schools from working with Planned Parenthood for health education programs,"The Birds, The Bees and The Ban","Public Health, Education",Negative,Nicholeen Peck,State House
HB 233,Floor Vote 1.2,,0,School Curriculum Amendments,Prohibits Utah schools from working with Planned Parenthood for health education programs,"The Birds, The Bees and The Ban","Public Health, Education",Negative,Nicholeen Peck,State House
HB 233,Floor Vote 1.3,,0,School Curriculum Amendments,Prohibits Utah schools from working with Planned Parenthood for health education programs,"The Birds, The Bees and The Ban","Public Health, Education",Negative,Nicholeen Peck,State House
HB 248,Committee 1,2025-02-03,14,Veteran Protections Amendments,Harsher punishments for people who defraud veterans of VA benefits,Veterans Benefits Fraud Prevention,Veterans,Positive,Verona Mauga,State House
HB 248,Floor Vote 1.1,2025-02-06,0,Veteran Protections Amendments,Harsher punishments for people who defraud veterans of VA benefits,Veterans Benefits Fraud Prevention,Veterans,Positive,Verona Mauga,State House
HB 248,Rules 2,2025-02-13,24,Veteran Protections Amendments,Harsher punishments for people who defraud veterans of VA benefits,Veterans Benefits Fraud Prevention,Veterans,Positive,Verona Mauga,State House
HB 248,Committee 2,2025-02-18,29,Veteran Protections Amendments,Harsher punishments for people who defraud veterans of VA benefits,Veterans Benefits Fraud Prevention,Veterans,Positive,Verona Mauga,State House
HB 248,Floor Vote 2.1,2025-02-21,32,Veteran Protections Amendments,Harsher punishments for people who defraud veterans of VA benefits,Veterans Benefits Fraud Prevention,Veterans,Positive,Verona Mauga,State House
HB 248,Rules 1,,0,Veteran Protections Amendments,Harsher punishments for people who defraud veterans of VA benefits,Veterans Benefits Fraud Prevention,Veterans,Positive,Verona Mauga,State House
HB 248,Floor Vote 1.2,,0,Veteran Protections Amendments,Harsher punishments for people who defraud veterans of VA benefits,Veterans Benefits Fraud Prevention,Veterans,Positive,Verona Mauga,State House
HB 248,Floor Vote 1.3,,0,Veteran Protections Amendments,Harsher punishments for people who defraud veterans of VA benefits,Veterans Benefits Fraud Prevention,Veterans,Positive,Verona Mauga,State House
HB 250,Committee 1,2025-02-06,17,Public-Employee Gender-Specific Language Requirements,"Prohibits public employers from disciplining employees for refusing to use a person's preferred pronouns, allowing them to refuse on religious or moral grounds","Your Pronouns, My Choice",DEI,Negative,Nicholeen Peck,State House
HB 250,Floor Vote 1.1,2025-02-13,24,Public-Employee Gender-Specific Language Requirements,"Prohibits public employers from disciplining employees for refusing to use a person's preferred pronouns, allowing them to refuse on religious or moral grounds","Your Pronouns, My Choice",DEI,Negative,Nicholeen Peck,State House
HB 250,Rules 2,2025-02-21,32,Public-Employee Gender-Specific Language Requirements,"Prohibits public employers from disciplining employees for refusing to use a person's preferred pronouns, allowing them to refuse on religious or moral grounds","Your Pronouns, My Choice",DEI,Negative,Nicholeen Peck,State House
HB 250,Rules 1,,0,Public-Employee Gender-Specific Language Requirements,"Prohibits public employers from disciplining employees for refusing to use a person's preferred pronouns, allowing them to refuse on religious or moral grounds","Your Pronouns, My Choice",DEI,Negative,Nicholeen Peck,State House
HB 250,Floor Vote 1.2,,0,Public-Employee Gender-Specific Language Requirements,"Prohibits public employers from disciplining employees for refusing to use a person's preferred pronouns, allowing them to refuse on religious or moral grounds","Your Pronouns, My Choice",DEI,Negative,Nicholeen Peck,State House
HB 250,Floor Vote 1.3,,0,Public-Employee Gender-Specific Language Requirements,"Prohibits public employers from disciplining employees for refusing to use a person's preferred pronouns, allowing them to refuse on religious or moral grounds","Your Pronouns, My Choice",DEI,Negative,Nicholeen Peck,State House
HB 252,Floor Vote 1.1,2025-01-30,10,Transgender State Custody Ammendments,"Prohibits transgender inmates from receiving gender-affirming healthcare, even if medically necessary; requires transgender minors in state custody to be housed according to their assigned sex at birth",Misgender & Endanger,"Transgender, Public Health, Children's Health, Criminal Justice System",Negative,Karianne Lisonbee,State House
HB 252,Rules 2,2025-02-03,14,Transgender State Custody Ammendments,"Prohibits transgender inmates from receiving gender-affirming healthcare, even if medically necessary; requires transgender minors in state custody to be housed according to their assigned sex at birth",Misgender & Endanger,"Transgender, Public Health, Children's Health, Criminal Justice System",Negative,Karianne Lisonbee,State House
HB 252,Committee 2,2025-02-06,17,Transgender State Custody Ammendments,"Prohibits transgender inmates from receiving gender-affirming healthcare, even if medically necessary; requires transgender minors in state custody to be housed according to their assigned sex at birth",Misgender & Endanger,"Transgender, Public Health, Children's Health, Criminal Justice System",Negative,Karianne Lisonbee,State House
HB 252,Floor Vote 2.1,2025-02-11,22,Transgender State Custody Ammendments,"Prohibits transgender inmates from receiving gender-affirming healthcare, even if medically necessary; requires transgender minors in state custody to be housed according to their assigned sex at birth",Misgender & Endanger,"Transgender, Public Health, Children's Health, Criminal Justice System",Negative,Karianne Lisonbee,State House
HB 252,Governor,2025-02-20,31,Transgender State Custody Ammendments,"Prohibits transgender inmates from receiving gender-affirming healthcare, even if medically necessary; requires transgender minors in state custody to be housed according to their assigned sex at birth",Misgender & Endanger,"Transgender, Public Health, Children's Health, Criminal Justice System",Negative,Karianne Lisonbee,State House
HB 252,Rules 1,,0,Transgender State Custody Ammendments,"Prohibits transgender inmates from receiving gender-affirming healthcare, even if medically necessary; requires transgender minors in state custody to be housed according to their assigned sex at birth",Misgender & Endanger,"Transgender, Public Health, Children's Health, Criminal Justice System",Negative,Karianne Lisonbee,State House
HB 252,Committee 1,,0,Transgender State Custody Ammendments,"Prohibits transgender inmates from receiving gender-affirming healthcare, even if medically necessary; requires transgender minors in state custody to be housed according to their assigned sex at birth",Misgender & Endanger,"Transgender, Public Health, Children's Health, Criminal Justice System",Negative,Karianne Lisonbee,State House
HB 252,Floor Vote 1.2,,0,Transgender State Custody Ammendments,"Prohibits transgender inmates from receiving gender-affirming healthcare, even if medically necessary; requires transgender minors in state custody to be housed according to their assigned sex at birth",Misgender & Endanger,"Transgender, Public Health, Children's Health, Criminal Justice System",Negative,Karianne Lisonbee,State House
HB 252,Floor Vote 1.3,,0,Transgender State Custody Ammendments,"Prohibits transgender inmates from receiving gender-affirming healthcare, even if medically necessary; requires transgender minors in state custody to be housed according to their assigned sex at birth",Misgender & Endanger,"Transgender, Public Health, Children's Health, Criminal Justice System",Negative,Karianne Lisonbee,State House
HB 252,Floor Vote 2.2,,0,Transgender State Custody Ammendments,"Prohibits transgender inmates from receiving gender-affirming healthcare, even if medically necessary; requires transgender minors in state custody to be housed according to their assigned sex at birth",Misgender & Endanger,"Transgender, Public Health, Children's Health, Criminal Justice System",Negative,Karianne Lisonbee,State House
HB 252,Floor Vote 2.3,,0,Transgender State Custody Ammendments,"Prohibits transgender inmates from receiving gender-affirming healthcare, even if medically necessary; requires transgender minors in state custody to be housed according to their assigned sex at birth",Misgender & Endanger,"Transgender, Public Health, Children's Health, Criminal Justice System",Negative,Karianne Lisonbee,State House
HB 265,Floor Vote 1.3,2025-02-03,14,Higher Education Strategic Reinvestment,"Forces Utah's public universities to shift funding away from programs that don't align with the Legislature's ""workforce demand"" priorities. Creates a new Strategic Reinvestment Fund that redistrubutes 10% of university funding to programs lawmakers deem ""worthy""","No History, No Humanities, No Problem",Education,Negative,Karen M. Peterson,State House
HB 265,Rules 2,2025-02-05,16,Higher Education Strategic Reinvestment,"Forces Utah's public universities to shift funding away from programs that don't align with the Legislature's ""workforce demand"" priorities. Creates a new Strategic Reinvestment Fund that redistrubutes 10% of university funding to programs lawmakers deem ""worthy""","No History, No Humanities, No Problem",Education,Negative,Karen M. Peterson,State House
HB 265,Committee 2,2025-02-11,22,Higher Education Strategic Reinvestment,"Forces Utah's public universities to shift funding away from programs that don't align with the Legislature's ""workforce demand"" priorities. Creates a new Strategic Reinvestment Fund that redistrubutes 10% of university funding to programs lawmakers deem ""worthy""","No History, No Humanities, No Problem",Education,Negative,Karen M. Peterson,State House
HB 265,Floor Vote 2.1,2025-02-19,30,Higher Education Strategic Reinvestment,"Forces Utah's public universities to shift funding away from programs that don't align with the Legislature's ""workforce demand"" priorities. Creates a new Strategic Reinvestment Fund that redistrubutes 10% of university funding to programs lawmakers deem ""worthy""","No History, No Humanities, No Problem",Education,Negative,Karen M. Peterson,State House
HB 265,Rules 1,,0,Higher Education Strategic Reinvestment,"Forces Utah's public universities to shift funding away from programs that don't align with the Legislature's ""workforce demand"" priorities. Creates a new Strategic Reinvestment Fund that redistrubutes 10% of university funding to programs lawmakers deem ""worthy""","No History, No Humanities, No Problem",Education,Negative,Karen M. Peterson,State House
HB 265,Committee 1,,0,Higher Education Strategic Reinvestment,"Forces Utah's public universities to shift funding away from programs that don't align with the Legislature's ""workforce demand"" priorities. Creates a new Strategic Reinvestment Fund that redistrubutes 10% of university funding to programs lawmakers deem ""worthy""","No History, No Humanities, No Problem",Education,Negative,Karen M. Peterson,State House
HB 265,Floor Vote 1.1,,0,Higher Education Strategic Reinvestment,"Forces Utah's public universities to shift funding away from programs that don't align with the Legislature's ""workforce demand"" priorities. Creates a new Strategic Reinvestment Fund that redistrubutes 10% of university funding to programs lawmakers deem ""worthy""","No History, No Humanities, No Problem",Education,Negative,Karen M. Peterson,State House
HB 265,Floor Vote 1.2,,0,Higher Education Strategic Reinvestment,"Forces Utah's public universities to shift funding away from programs that don't align with the Legislature's ""workforce demand"" priorities. Creates a new Strategic Reinvestment Fund that redistrubutes 10% of university funding to programs lawmakers deem ""worthy""","No History, No Humanities, No Problem",Education,Negative,Karen M. Peterson,State House
HB 266,Floor Vote 1.1,2025-02-03,14,Veteran Housing Amendments,Provides extra resources for homeless veterans,Support for Homeless Veterans,"Veterans, Houselessness",Positive,Jennifer Dailey-Provost,State House
HB 266,Rules 2,2025-02-11,22,Veteran Housing Amendments,Provides extra resources for homeless veterans,Support for Homeless Veterans,"Veterans, Houselessness",Positive,Jennifer Dailey-Provost,State House
HB 266,Floor Vote 2.1,2025-02-18,29,Veteran Housing Amendments,Provides extra resources for homeless veterans,Support for Homeless Veterans,"Veterans, Houselessness",Positive,Jennifer Dailey-Provost,State House
HB 266,Governor,2025-02-21,32,Veteran Housing Amendments,Provides extra resources for homeless veterans,Support for Homeless Veterans,"Veterans, Houselessness",Positive,Jennifer Dailey-Provost,State House
HB 266,Rules 1,,0,Veteran Housing Amendments,Provides extra resources for homeless veterans,Support for Homeless Veterans,"Veterans, Houselessness",Positive,Jennifer Dailey-Provost,State House
HB 266,Committee 1,,0,Veteran Housing Amendments,Provides extra resources for homeless veterans,Support for Homeless Veterans,"Veterans, Houselessness",Positive,Jennifer Dailey-Provost,State House
HB 266,Floor Vote 1.2,,0,Veteran Housing Amendments,Provides extra resources for homeless veterans,Support for Homeless Veterans,"Veterans, Houselessness",Positive,Jennifer Dailey-Provost,State House
HB 266,Floor Vote 1.3,,0,Veteran Housing Amendments,Provides extra resources for homeless veterans,Support for Homeless Veterans,"Veterans, Houselessness",Positive,Jennifer Dailey-Provost,State House
HB 266,Committee 2,,0,Veteran Housing Amendments,Provides extra resources for homeless veterans,Support for Homeless Veterans,"Veterans, Houselessness",Positive,Jennifer Dailey-Provost,State House
HB 266,Floor Vote 2.2,,0,Veteran Housing Amendments,Provides extra resources for homeless veterans,Support for Homeless Veterans,"Veterans, Houselessness",Positive,Jennifer Dailey-Provost,State House
HB 266,Floor Vote 2.3,,0,Veteran Housing Amendments,Provides extra resources for homeless veterans,Support for Homeless Veterans,"Veterans, Houselessness",Positive,Jennifer Dailey-Provost,State House
HB 267,Floor Vote 1.1,2025-01-23,3,Public Sector Labor Union Amendments,"Bans collective bargaining for buplic sector unions, making it harder for techers, government employees and others to organize","No Bargaining, Just Begging",Labor Unions,Negative,Jordan Teuscher,State House
HB 267,Committee 2,2025-01-27,7,Public Sector Labor Union Amendments,"Bans collective bargaining for buplic sector unions, making it harder for techers, government employees and others to organize","No Bargaining, Just Begging",Labor Unions,Negative,Jordan Teuscher,State House
HB 267,Floor Vote 2.1,2025-01-30,10,Public Sector Labor Union Amendments,"Bans collective bargaining for buplic sector unions, making it harder for techers, government employees and others to organize","No Bargaining, Just Begging",Labor Unions,Negative,Jordan Teuscher,State House
HB 267,Floor Vote 2.3,2025-02-04,15,Public Sector Labor Union Amendments,"Bans collective bargaining for buplic sector unions, making it harder for techers, government employees and others to organize","No Bargaining, Just Begging",Labor Unions,Negative,Jordan Teuscher,State House
HB 267,Governor,2025-02-06,17,Public Sector Labor Union Amendments,"Bans collective bargaining for buplic sector unions, making it harder for techers, government employees and others to organize","No Bargaining, Just Begging",Labor Unions,Negative,Jordan Teuscher,State House
HB 267,Bill Passed,2025-02-14,25,Public Sector Labor Union Amendments,"Bans collective bargaining for buplic sector unions, making it harder for techers, government employees and others to organize","No Bargaining, Just Begging",Labor Unions,Negative,Jordan Teuscher,State House
HB 267,Rules 1,,0,Public Sector Labor Union Amendments,"Bans collective bargaining for buplic sector unions, making it harder for techers, government employees and others to organize","No Bargaining, Just Begging",Labor Unions,Negative,Jordan Teuscher,State House
HB 267,Committee 1,,0,Public Sector Labor Union Amendments,"Bans collective bargaining for buplic sector unions, making it harder for techers, government employees and others to organize","No Bargaining, Just Begging",Labor Unions,Negative,Jordan Teuscher,State House
HB 267,Floor Vote 1.2,,0,Public Sector Labor Union Amendments,"Bans collective bargaining for buplic sector unions, making it harder for techers, government employees and others to organize","No Bargaining, Just Begging",Labor Unions,Negative,Jordan Teuscher,State House
